period	year	title	text
1791 – 1945: The First Activists	1791	In response to France’s Declaration on the Rights of Man, Olympe de Gouges writes the ‘Declaration of the Rights of Woman and the Female Citizen’	“Article 1: Woman is born free and remains the equal of man in rights. Social distinctions can only be founded on a common utility.”
1791 – 1945: The First Activists	1792	Mary Wollstonecraft publishes ‘A Vindication of the Rights of Woman’	“It is time to effect a revolution in female manners - time to restore to them their lost dignity - and make them, as a part of the human species, labour by reforming themselves to reform the world. It is time to separate unchangeable morals from local manners.”
1791 – 1945: The First Activists	1792	Mary Wollstonecraft publishes ‘A Vindication of the Rights of Woman’	“…if they be really capable of acting like rational creatures, let them not be treated like slaves; or, like the brutes who are dependent on the reason of man, when they associate with him; but cultivate their minds, give them the salutary sublime curb of principle, and let them attain conscious dignity by feeling themselves only dependent on God.”
1791 – 1945: The First Activists	1878	Frances Power Cobbe publishes ‘Wife Torture in England,’ to support a new law that would expand legal options available to survivors of domestic violence	6000 brutal attacks by intimate partners are documented over a three year period, including the use of sulfuric acid to induce blindness, burning and murder.
1791 – 1945: The First Activists	1878	The first International Congress on Women’s Rights is held in Paris, France	"Last evening a gentleman who seemed a bit sceptical about the advantages of our Congress asked me, ‘Well, Madame, what great truth have you proclaimed to the world?' I replied to him, ‘Monsieur, we have proclaimed that woman is a human being.' He laughed. ‘But, Madame, that is a platitude.' So it is; but when this platitude, which everyone accepts with a smile when it is merely a question of words, is recognised by human laws, the face of the world will be transformed. Certainly, then, there would be no need for us to assemble in congress to demand the rights of woman."Emily Venturi
1791 – 1945: The First Activists	1888	International Council of Women	The first and oldest existing international women’s organisation, is founded.
1791 – 1945: The First Activists	1893	New Zealand becomes the first country in the world to grant women the right to vote, however it is not until 1919 that they are allowed to stand for Parliament.
1791 – 1945: The First Activists	1902	At the Second International Congress of Women, a group leaves the International Council of Women to form the International Alliance of Women
1791 – 1945: The First Activists	1911	The first International Women’s Day is celebrated in 4 countries: Austria, Denmark, Germany and Switzerland. 	Despite this recognition, Switzerland does not grant women unrestricted voting rights in national and local elections until 1990.
1791 – 1945: The First Activists	1915	A Call to the Women of All Nations: the Third International Congress of concludes with the formation of the Women’s International League for Peace and Freedom
1791 – 1945: The First Activists	1918	Pink or Blue? An American Magazine publishes an article on which colour is most appropriate for newborns 	“There has been a great diversity of opinion on the subject, but the generally accepted rule is pink for the boy and blue for the girl. The reason is that pink being a more decided and stronger colour is more suitable for the boy; while blue, which is more delicate and dainty, is prettier for the girl.”
1791 – 1945: The First Activists	1919	At the Paris Peace Conference, representatives from 14 different states meet to discuss the establishment of the League of Nations and International Labour Organization 	Women attendees form the Inter-Allied Suffrage Conference. They are given the right to participate in certain peace conference commissions and to meet with representatives at the League of Nations.
